zcta,time_period,population,Start date,end date,case count,test count,positive tests,case rate,test rate,positivity rate
95129,32,39741,10/11/2020,10/31/2020,22,2543,23,2.6,304.7,0.9
95129,43,39741,5/30/2021,6/19/2021,,3315,14,1.1,397.2,0.4
95129,40,39741,3/28/2021,4/17/2021,34,4816,37,4.1,577.1,0.8
95129,55,39741,2/6/2022,2/26/2022,110,10194,175,13.2,1221.5,1.7
95129,44,39741,6/20/2021,7/10/2021,14,3033,17,1.7,363.4,0.6
95129,54,39741,1/16/2022,2/5/2022,624,13479,817,74.8,1615.1,6.1
95129,25,39741,5/17/2020,6/6/2020,,762,,0.4,91.3,0.4
95129,30,39741,8/30/2020,9/19/2020,20,1773,20,2.4,212.4,1.1
95129,31,39741,9/20/2020,10/10/2020,12,2120,12,1.4,254,0.6
95129,66,39741,9/25/2022,10/15/2022,66,1571,78,7.9,188.2,5
95129,48,39741,9/12/2021,10/2/2021,40,6305,48,4.8,755.5,0.8
95129,34,39741,11/22/2020,12/12/2020,211,4063,233,25.3,486.8,5.7
95129,33,39741,11/1/2020,11/21/2020,95,3204,102,11.4,383.9,3.2
95129,38,39741,2/14/2021,3/6/2021,33,4468,38,4,535.4,0.9
95129,61,39741,6/12/2022,7/2/2022,512,3829,590,61.3,458.8,15.4
95129,62,39741,7/3/2022,7/23/2022,318,3266,383,38.1,391.3,11.7
95129,50,39741,10/24/2021,11/13/2021,39,5449,44,4.7,652.9,0.8
95129,65,39741,9/4/2022,9/24/2022,86,2096,94,10.3,251.2,4.5
95129,49,39741,10/3/2021,10/23/2021,29,5902,40,3.5,707.2,0.7
95129,27,39741,6/28/2020,7/18/2020,27,2027,42,3.2,242.9,2.1
95129,37,39741,1/24/2021,2/13/2021,50,4657,67,6,558,1.4
95129,24,39741,4/26/2020,5/16/2020,,357,,0.1,42.8,0.8
95129,35,39741,12/13/2020,1/2/2021,198,4352,216,23.7,521.5,5
95129,23,39741,4/5/2020,4/25/2020,,207,,0.5,24.8,2.4
95129,36,39741,1/3/2021,1/23/2021,225,4946,244,27,592.6,4.9
95129,22,39741,3/15/2020,4/4/2020,,131,,0.8,15.7,6.1
95129,21,39741,2/23/2020,3/14/2020,,,,0.2,0.4,66.7
95129,19,39741,1/12/2020,2/1/2020,0,,,0,0.1,0
95129,42,39741,5/9/2021,5/29/2021,,4115,14,1.2,493.1,0.3
95129,60,39741,5/22/2022,6/11/2022,456,9317,540,54.6,1116.4,5.8
95129,39,39741,3/7/2021,3/27/2021,24,4487,29,2.9,537.6,0.6
95129,29,39741,8/9/2020,8/29/2020,23,1700,22,2.8,203.7,1.3
95129,41,39741,4/18/2021,5/8/2021,18,4619,25,2.2,553.5,0.5
95129,58,39741,4/10/2022,4/30/2022,151,6860,169,18.1,822,2.5
95129,45,39741,7/11/2021,7/31/2021,65,3255,86,7.8,390,2.6
95129,67,39741,10/16/2022,11/5/2022,39,707,42,4.7,84.7,5.9
